"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"1","1.10.x","2022-01-01 00:00:00.0","2023-11-03 00:00:00.0","1"
"100001","1.10.x","2023-01-01 00:00:00.0","2023-11-03 00:00:00.0","100001"
"100002","1.11.x","2023-08-01 00:00:00.0","2023-11-03 00:00:00.0","100002"
"100003","1.14.x","2023-10-05 09:00:00.0","2024-01-31 00:00:00.0","100003"
"100004","1.16.x","2023-10-26 00:00:00.0","2024-02-03 00:00:00.0","100004"
"100005","1.18.x","2023-11-02 00:00:00.0","2024-02-16 00:00:00.0","100005"
"100006","1.19.x","2023-11-13 00:00:00.0","2024-03-20 00:00:00.0","100006"
"100007","1.22.x","2023-12-21 00:00:00.0","2024-04-16 00:00:00.0","100007"
"100008","1.23.x","2024-01-17 00:00:00.0","2024-05-19 00:00:00.0","100008"
"100009","1.24.x","2024-02-19 00:00:00.0","2024-06-11 00:00:00.0","100009"
"100010","1.26.x","2024-03-11 00:00:00.0","2024-06-23 00:00:00.0","100010"
"100011","1.27.x","2024-03-27 00:00:00.0","2024-10-01 00:00:00.0","100011"
"100012","1.28.x","2024-04-30 00:00:00.0","2024-10-01 00:00:00.0","100012"
"100013","1.29.x","2024-05-29 00:00:00.0","2024-10-01 00:00:00.0","100013"
"100014","1.30.x","2024-06-25 00:00:00.0","2025-01-25 00:00:00.0","100014"
"100015","1.32.x","2024-07-25 00:00:00.0","9999-12-31 00:00:00.0","100015"
