"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"1","BOZZA","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","1"
"2","CONFERMATO","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","2"
"3","ANNULLATO","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","3"
"4","FIRMATO DAL DICHIARANTE","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","4"
"5","FIRMATO DA USC","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","5"
"6","GENERATO DA SISTEMA","1900-01-01 00:00:00.0","9999-12-31 00:00:00.0","6"
"7","APPROVATO","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","7"
"8","RIFIUTATA","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","8"
"9","CANCELLATO","2023-12-20 14:57:15.0","9999-12-31 00:00:00.0","9"
"10","INEFFICACE","2024-01-23 09:57:09.0","9999-12-31 00:00:00.0","10"
