"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"1","Nuovo","2024-10-30 00:00:00.0","9999-12-31 00:00:00.0","1"
"2","Rettificato","2024-10-30 00:00:00.0","9999-12-31 00:00:00.0","2"
"3","Stampato","2024-10-30 00:00:00.0","9999-12-31 00:00:00.0","3"
"4","Ricevuto","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","4"
"5","Bozza","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","5"
"6","Confermato","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","6"
"7","Firmato USC","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","7"
"8","Cancellato","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","8"
"9","Attesa","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","9"
"10","Inviato","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","10"
"11","Errore Invio","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","11"
"12","Conservato","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","12"
"14","Errore Conservazione","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","14"
