"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"1","Ostetrico/a","2025-12-02 20:24:16.0","9999-12-31 00:00:00.0","1"
"2","Medico che ha assistito al parto","2025-12-02 20:24:16.0","9999-12-31 00:00:00.0","2"
"3","Procuratore speciale","2025-12-02 20:24:16.0","9999-12-31 00:00:00.0","3"
"4","Altra persona che ha assistito al parto","2025-12-02 20:24:16.0","9999-12-31 00:00:00.0","4"
"5","Direttore sanitario","2025-12-02 20:24:17.0","9999-12-31 00:00:00.0","5"
"6","Medico che ha assistito il deceduto","2025-12-02 20:24:17.0","9999-12-31 00:00:00.0","6"
"7","Medico che ha eseguito l'autopsia","2025-12-02 20:24:17.0","9999-12-31 00:00:00.0","7"
"8","Medico che ha dato riscontro diagnostico (medico legale)","2025-12-02 20:24:17.0","9999-12-31 00:00:00.0","8"
"9","Medico necroscopo","2025-12-02 20:24:17.0","9999-12-31 00:00:00.0","9"
"10","MMG","2025-12-02 20:24:18.0","9999-12-31 00:00:00.0","10"
"11","PLS","2025-12-02 20:24:18.0","9999-12-31 00:00:00.0","11"
