"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"1","Sindaco","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","1"
"2","Vicesindaco","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","2"
"3","Ufficiale di Stato Civile","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","3"
"4","Comune Cittadino","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","4"
"8","Comandante Nave","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","8"
"9","Comandante Aereo","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","9"
"5","Parroco","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","5"
"6","Diacono","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","6"
"7","Cappellano Militare","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","7"
"10","Ministro di culto","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","10"
