"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"SC01","NOTIFICA DI ISCRIZIONE","2023-03-23 00:00:00.0","9999-12-31 00:00:00.0","1"
"SC02","NOTIFICA DI ISCRIZIONE AIRE","2023-03-23 00:00:00.0","9999-12-31 00:00:00.0","2"
"SC03","NOTIFICA DI MUTAZIONE_ANAGRAFICA","2023-03-23 00:00:00.0","9999-12-31 00:00:00.0","3"
"SC04","NOTIFICA DI MUTAZIONE_ANAGRAFICA_PADRE_MADRE","2023-03-23 00:00:00.0","9999-12-31 00:00:00.0","4"
"SC05","NOTIFICA DI MUTAZIONE_PADRE","2023-03-23 00:00:00.0","9999-12-31 00:00:00.0","5"
"SC06","NOTIFICA DI MUTAZIONE_MADRE","2023-03-23 00:00:00.0","9999-12-31 00:00:00.0","6"
"SC07","NOTIFICA DI MUTAZIONE_PADRE_MADRE","2023-03-23 00:00:00.0","9999-12-31 00:00:00.0","7"
"SC08","NOTIFICA DI MUTAZIONE_CITTADINANZA","2023-03-23 00:00:00.0","9999-12-31 00:00:00.0","8"
"SC09","NOTIFICA DI MUTAZIONE_ACQUISISCI_MATRIMONIO_STATO_CIVILE","2023-03-23 00:00:00.0","9999-12-31 00:00:00.0","9"
"SC10","NOTIFICA DI MUTAZIONE_ANNULLA_MATRIMONIO_STATO_CIVILE","2023-03-23 00:00:00.0","9999-12-31 00:00:00.0","10"
"SC11","NOTIFICA DI MUTAZIONE_UNIONE_CIVILE","2023-03-23 00:00:00.0","9999-12-31 00:00:00.0","11"
"SC12","NOTIFICA DI MUTAZIONE_SCIOGLIMENTO_UNIONE_CIVILE","2023-03-23 00:00:00.0","9999-12-31 00:00:00.0","12"
"SC13","NOTIFICA DI CANCELLAZIONE_PADRE","2023-03-23 00:00:00.0","9999-12-31 00:00:00.0","13"
"SC14","NOTIFICA DI CANCELLAZIONE_ISCRIZIONE_ALTRI_MOTIVI","2023-03-23 00:00:00.0","9999-12-31 00:00:00.0","14"
"SC15","NOTIFICA DI CANCELLAZIONE_DECESSO_VEDOVANZA","2023-03-23 00:00:00.0","9999-12-31 00:00:00.0","15"
"SC16","NOTIFICA GENERICA","2023-03-23 00:00:00.0","9999-12-31 00:00:00.0","16"
"SC17","NOTIFICA DI RETTIFICA","2023-03-23 00:00:00.0","9999-12-31 00:00:00.0","17"
"SC18","NOTIFICA DI DISCORDANZA ANAGRAFICA","2023-10-16 00:00:00.0","9999-12-31 00:00:00.0","18"
