"Sezione","Campo","Obbligatorio","Binding Object","Binding Field","Note obbligatorieta' formule"
"Formula","998","SI","","",""
"Sezione","Campo","Obbligatorio","Binding Object","Binding Field","Note obbligatorieta' formule"
"Formazione atto","Numero comunale","SI","evento","numeroatto",""
"Formazione atto","Data formazione","SI","evento","dataformazione",""
"Formazione atto","Ora formazione","SI","evento","ora",""
"Formazione atto","Minuti formazione","SI","evento","minuto",""
"Evento da annotare","Id atto","NO","evento.eventoCollegato","idAnsc",""
"Evento da annotare","Provincia registrazione","SI","evento.eventoCollegato","idProvinciaRegistrazione",""
"Evento da annotare","Provincia registrazione - Descrizione","SI","evento.eventoCollegato","siglaProvinciaRegistrazione",""
"Evento da annotare","Comune registrazione","SI","evento.eventoCollegato","idComuneRegistrazione",""
"Evento da annotare","Comune registrazione - Descrizione","SI","evento.eventoCollegato","nomeComuneRegistrazione",""
"Evento da annotare","Numero Comunale","SI","evento.eventoCollegato","numeroatto",""
"Evento da annotare","Anno atto","SI","evento.eventoCollegato","annoAtto",""
"Evento da annotare","Data atto","SI","evento.eventoCollegato","dataformazione",""
"Evento da annotare","Tipo registro","SI","evento.eventoCollegato","tipologia",""
"Composizione libera","Composizione libera","SI","evento","composizioneCompleta",""
