"Sezione","Campo","Obbligatorio","Binding Object","Binding Field","Note obbligatorieta' formule"
"Formula","999.3.1","SI","","",""
"Sezione","Campo","Obbligatorio","Binding Object","Binding Field","Note obbligatorieta' formule"
"Formazione atto","Numero comunale","SI","evento","numeroatto",""
"Formazione atto","Data formazione","SI","evento","dataformazione",""
"Formazione atto","Ora formazione","SI","evento","ora",""
"Formazione atto","Minuti formazione","SI","evento","minuto",""
"Dati generali","Data Evento","SI","evento.datiEventoMatrimonio","dataEvento",""
"Dati generali","Stato","SI","evento.datiEventoMatrimonio.luogoCelebrazione","idStato",""
"Dati generali","Stato - Descrizione","SI","evento.datiEventoMatrimonio.luogoCelebrazione","nomeStato",""
"Dati generali","Provincia","SI","evento.datiEventoMatrimonio.luogoCelebrazione","idProvincia",""
"Dati generali","Provincia - Descrizione","SI","evento.datiEventoMatrimonio.luogoCelebrazione","siglaProvincia",""
"Dati generali","Comune","SI","evento.datiEventoMatrimonio.luogoCelebrazione","idComune",""
"Dati generali","Comune - Descrizione","SI","evento.datiEventoMatrimonio.luogoCelebrazione","nomeComune",""
"Generalità Sposo","Cognome","NO","evento.intestatari[0]","cognome",""
"Generalità Sposo","Nome","SI","evento.intestatari[0]","nome",""
"Generalità Sposo","Sesso","SI","evento.intestatari[0]","sesso",""
"Generalità Sposo","Data nascita","SI","evento.intestatari[0]","dataNascita",""
"Generalità Sposo","Stato di nascita","SI","evento.intestatari[0]","idStatoNascita",""
"Generalità Sposo","Stato di nascita - Descrizione","SI","evento.intestatari[0]","nomeStatoNascita",""
"Generalità Sposo","Provincia di nascita","NO","evento.intestatari[0]","idProvinciaNascita",""
"Generalità Sposo","Provincia di nascita - Descrizione","NO","evento.intestatari[0]","siglaProvinciaNascita",""
"Generalità Sposo","Comune di nascita","NO","evento.intestatari[0]","idComuneNascita",""
"Generalità Sposo","Comune di nascita - Descrizione","NO","evento.intestatari[0]","nomeComuneNascita",""
"Generalità Sposo","Nazionalita","SI","evento.intestatari[0]","idNazionalita",""
"Generalità Sposo","Nazionalita - Descrizione","SI","evento.intestatari[0]","nazionalita",""
"Generalità Sposo","Stato di residenza","SI","evento.intestatari[0]","idStatoResidenza",""
"Generalità Sposo","Stato di residenza - Descrizione","SI","evento.intestatari[0]","nomeStatoResidenza",""
"Generalità Sposo","Provincia di residenza","NO","evento.intestatari[0]","idProvinciaResidenza",""
"Generalità Sposo","Provincia di residenza - Descrizione","NO","evento.intestatari[0]","siglaProvinciaResidenza",""
"Generalità Sposo","Comune di residenza","NO","evento.intestatari[0]","idComuneResidenza",""
"Generalità Sposo","Comune di residenza - Descrizione","NO","evento.intestatari[0]","nomeComuneResidenza",""
"Generalità Sposo","Indirizzo di residenza","NO","evento.intestatari[0]","indirizzoResidenza",""
"Generalità Sposo","flag dichiarante","SI","evento.intestatari[0]","flagDichiarante",""
"Generalità Sposo","flag comparente","SI","evento.intestatari[0]","flagComparente",""
"Generalità Sposo","flag firmatario","SI","evento.intestatari[0]","flagFirmatario",""
"Generalità Sposa","Cognome","NO","evento.intestatari[1]","cognome",""
"Generalità Sposa","Nome","SI","evento.intestatari[1]","nome",""
"Generalità Sposa","Sesso","SI","evento.intestatari[1]","sesso",""
"Generalità Sposa","Data nascita","SI","evento.intestatari[1]","dataNascita",""
"Generalità Sposa","Stato di nascita","SI","evento.intestatari[1]","idStatoNascita",""
"Generalità Sposa","Stato di nascita - Descrizione","SI","evento.intestatari[1]","nomeStatoNascita",""
"Generalità Sposa","Provincia di nascita","NO","evento.intestatari[1]","idProvinciaNascita",""
"Generalità Sposa","Provincia di nascita - Descrizione","NO","evento.intestatari[1]","siglaProvinciaNascita",""
"Generalità Sposa","Comune di nascita","NO","evento.intestatari[1]","idComuneNascita",""
"Generalità Sposa","Comune di nascita - Descrizione","NO","evento.intestatari[1]","nomeComuneNascita",""
"Generalità Sposa","Nazionalita","SI","evento.intestatari[1]","idNazionalita",""
"Generalità Sposa","Nazionalita - Descrizione","SI","evento.intestatari[1]","nazionalita",""
"Generalità Sposa","Stato di residenza","SI","evento.intestatari[1]","idStatoResidenza",""
"Generalità Sposa","Stato di residenza - Descrizione","SI","evento.intestatari[1]","nomeStatoResidenza",""
"Generalità Sposa","Provincia di residenza","NO","evento.intestatari[1]","idProvinciaResidenza",""
"Generalità Sposa","Provincia di residenza - Descrizione","NO","evento.intestatari[1]","siglaProvinciaResidenza",""
"Generalità Sposa","Comune di residenza","NO","evento.intestatari[1]","idComuneResidenza",""
"Generalità Sposa","Comune di residenza - Descrizione","NO","evento.intestatari[1]","nomeComuneResidenza",""
"Generalità Sposa","Indirizzo di residenza","NO","evento.intestatari[1]","indirizzoResidenza",""
"Generalità Sposa","flag dichiarante","SI","evento.intestatari[1]","flagDichiarante",""
"Generalità Sposa","flag comparente","SI","evento.intestatari[1]","flagComparente",""
"Generalità Sposa","flag firmatario","SI","evento.intestatari[1]","flagFirmatario",""
"Testimone 1","Cognome","NO","evento.datiEventoMatrimonio.testimone1","cognome",""
"Testimone 1","Nome","NO","evento.datiEventoMatrimonio.testimone1","nome",""
"Testimone 1","Sesso","NO","evento.datiEventoMatrimonio.testimone1","sesso",""
"Testimone 1","Data nascita","NO","evento.datiEventoMatrimonio.testimone1","dataNascita",""
"Testimone 1","Stato di nascita","NO","evento.datiEventoMatrimonio.testimone1","idStatoNascita",""
"Testimone 1","Stato di nascita - Descrizione","NO","evento.datiEventoMatrimonio.testimone1","nomeStatoNascita",""
"Testimone 1","Provincia di nascita","NO","evento.datiEventoMatrimonio.testimone1","idProvinciaNascita",""
