"Sezione","Campo","Obbligatorio","Binding Object","Binding Field","Note obbligatorieta' formule","Condizioni obbligatorieta'"
"Allegati","Atto di matrimonio","SI","","","",""
"Allegati","Decreto del Tribunale","NO","","","",""
"Allegati","Copia integrale atto di nascita degli sposi","NO","","","",""
"Allegati","Autocertificazione cumulativa stato libero, residenza, cittadinanza","NO","","","",""
"Allegati","Certificato di eseguita pubblicazione","NO","","","",""
"Allegati","Atto di pubblicazione","NO","","","",""
"Allegati","Richiesta rilascio atto di delega","NO","","","",""
"Allegati","Atto di delegazione","NO","","","",""
"Allegati","Copia atto di matrimonio trascritto","NO","","","",""
"Formula","121-bis","SI","","","",""
"Sezione","Campo","Obbligatorio","Binding Object","Binding Field","Note obbligatorieta' formule","Si puo' ignorare la sezione per"
"Formazione atto","Numero comunale","SI","evento","numeroatto","","obbligatoria"
"Formazione atto","Data formazione","SI","evento","dataformazione","","obbligatoria"
"Formazione atto","Ora formazione","SI","evento","ora","","obbligatoria"
"Formazione atto","Minuti formazione","SI","evento","minuto","","obbligatoria"
"Generalità Sposo","Cognome","NO","evento.intestatari[0]","cognome","121-bis","obbligatoria"
"Generalità Sposo","Nome","SI","evento.intestatari[0]","nome","","obbligatoria"
"Generalità Sposo","Sesso","SI","evento.intestatari[0]","sesso","","obbligatoria"
"Generalità Sposo","Data nascita","SI","evento.intestatari[0]","dataNascita","","obbligatoria"
"Generalità Sposo","Stato di nascita","SI","evento.intestatari[0]","idStatoNascita","","obbligatoria"
"Generalità Sposo","Stato di nascita - Descrizione","SI","evento.intestatari[0]","nomeStatoNascita","","obbligatoria"
"Generalità Sposo","Provincia di nascita","NO","evento.intestatari[0]","idProvinciaNascita","","obbligatoria"
"Generalità Sposo","Provincia di nascita - Descrizione","NO","evento.intestatari[0]","siglaProvinciaNascita","121-bis","obbligatoria"
"Generalità Sposo","Comune di nascita","NO","evento.intestatari[0]","idComuneNascita","","obbligatoria"
"Generalità Sposo","Comune di nascita - Descrizione","NO","evento.intestatari[0]","nomeComuneNascita","121-bis","obbligatoria"
"Generalità Sposo","Località estera","NO","evento.intestatari[0]","localitaEsteraNascita","121-bis","obbligatoria"
"Generalità Sposo","Nazionalita","SI","evento.intestatari[0]","idNazionalita","","obbligatoria"
"Generalità Sposo","Nazionalita - Descrizione","SI","evento.intestatari[0]","nazionalita","","obbligatoria"
"Generalità Sposo","Stato di residenza","SI","evento.intestatari[0]","idStatoResidenza","","obbligatoria"
"Generalità Sposo","Stato di residenza - Descrizione","SI","evento.intestatari[0]","nomeStatoResidenza","","obbligatoria"
"Generalità Sposo","Provincia di residenza","NO","evento.intestatari[0]","idProvinciaResidenza","","obbligatoria"
"Generalità Sposo","Provincia di residenza - Descrizione","NO","evento.intestatari[0]","siglaProvinciaResidenza","121-bis","obbligatoria"
"Generalità Sposo","Comune di residenza","NO","evento.intestatari[0]","idComuneResidenza","","obbligatoria"
"Generalità Sposo","Comune di residenza - Descrizione","NO","evento.intestatari[0]","nomeComuneResidenza","121-bis","obbligatoria"
"Generalità Sposo","Indirizzo di residenza","NO","evento.intestatari[0]","indirizzoResidenza","121-bis","obbligatoria"
"Generalità Sposo","flag dichiarante","SI","evento.intestatari[0]","flagDichiarante","","obbligatoria"
"Generalità Sposo","flag comparente","SI","evento.intestatari[0]","flagComparente","","obbligatoria"
"Generalità Sposo","flag firmatario","SI","evento.intestatari[0]","flagFirmatario","","obbligatoria"
"Generalità Sposa","Cognome","NO","evento.intestatari[1]","cognome","121-bis","obbligatoria"
"Generalità Sposa","Nome","SI","evento.intestatari[1]","nome","","obbligatoria"
"Generalità Sposa","Sesso","SI","evento.intestatari[1]","sesso","","obbligatoria"
"Generalità Sposa","Data nascita","SI","evento.intestatari[1]","dataNascita","","obbligatoria"
"Generalità Sposa","Stato di nascita","SI","evento.intestatari[1]","idStatoNascita","","obbligatoria"
"Generalità Sposa","Stato di nascita - Descrizione","SI","evento.intestatari[1]","nomeStatoNascita","","obbligatoria"
"Generalità Sposa","Provincia di nascita","NO","evento.intestatari[1]","idProvinciaNascita","","obbligatoria"
"Generalità Sposa","Provincia di nascita - Descrizione","NO","evento.intestatari[1]","siglaProvinciaNascita","121-bis","obbligatoria"
"Generalità Sposa","Comune di nascita","NO","evento.intestatari[1]","idComuneNascita","","obbligatoria"
"Generalità Sposa","Comune di nascita - Descrizione","NO","evento.intestatari[1]","nomeComuneNascita","121-bis","obbligatoria"
"Generalità Sposa","Località estera","NO","evento.intestatari[1]","localitaEsteraNascita","121-bis","obbligatoria"
"Generalità Sposa","Nazionalita","SI","evento.intestatari[1]","idNazionalita","","obbligatoria"
"Generalità Sposa","Nazionalita - Descrizione","SI","evento.intestatari[1]","nazionalita","","obbligatoria"
"Generalità Sposa","Stato di residenza","SI","evento.intestatari[1]","idStatoResidenza","","obbligatoria"
"Generalità Sposa","Stato di residenza - Descrizione","SI","evento.intestatari[1]","nomeStatoResidenza","","obbligatoria"
"Generalità Sposa","Provincia di residenza","NO","evento.intestatari[1]","idProvinciaResidenza","","obbligatoria"
