"Sezione","Campo","Obbligatorio","Binding Object","Binding Field","Note obbligatorieta' formule"
"Allegati","Atto di matrimonio","SI","","",""
"Allegati","Atto di matrimonio straniero, tradotto e legalizzato","NO","","",""
"Allegati","Decreto del Tribunale","SI","","",""
"Allegati","Ceritificazione come da articolo 5 del Decreto Legge n. 132/2014 convertito con Legge 10.11.2014 n.162","NO","","",""
"Allegati","Certificazione acquisita dall'avvocato dello sposo","NO","","",""
"Allegati","Certificazione acquisita dall'avvocato dello sposa","NO","","",""
"Allegati","Nulla osta","SI","","",""
"Formula","193-ter","SI","","",""
"Sezione","Campo","Obbligatorio","Binding Object","Binding Field","Note obbligatorieta' formule"
"Formazione atto","Numero comunale","SI","evento","numeroatto",""
"Formazione atto","Data formazione","SI","evento","dataformazione",""
"Formazione atto","Ora formazione","SI","evento","ora",""
"Formazione atto","Minuti formazione","SI","evento","minuto",""
"Accordo di negoziazione assistita","Data formazione documento","NO","evento.negoziazioneAssistita.accordo","dataTrascrizione","193-ter"
"Accordo di negoziazione assistita","Estremi documento","NO","evento.negoziazioneAssistita.accordo","estremiDocumento","193-ter"
"Accordo di negoziazione assistita","Nome ente","NO","evento.negoziazioneAssistita.accordo","nomeEnte","193-ter"
"Accordo di negoziazione assistita","Provincia ente","NO","evento.negoziazioneAssistita.accordo","idProvinciaEnte",""
"Accordo di negoziazione assistita","Provincia ente - Descrizione","NO","evento.negoziazioneAssistita.accordo","siglaProvinciaEnte","193-ter"
"Accordo di negoziazione assistita","Comune ente","NO","evento.negoziazioneAssistita.accordo","idComuneEnte",""
"Accordo di negoziazione assistita","Comune ente - Descrizione","NO","evento.negoziazioneAssistita.accordo","nomeComuneEnte","193-ter"
"Accordo di negoziazione assistita","Testo da trascrivere","SI","evento.negoziazioneAssistita","testoTrascrizione",""
"Atto di Matrimonio","Id atto","NO","evento.negoziazioneAssistita.attoMatrimonio","idAnsc",""
"Atto di Matrimonio","Provincia registrazione","SI","evento.negoziazioneAssistita.attoMatrimonio","idProvinciaRegistrazione",""
"Atto di Matrimonio","Provincia registrazione - Descrizione","SI","evento.negoziazioneAssistita.attoMatrimonio","siglaProvinciaRegistrazione",""
"Atto di Matrimonio","Comune registrazione","SI","evento.negoziazioneAssistita.attoMatrimonio","idComuneRegistrazione",""
"Atto di Matrimonio","Comune registrazione - Descrizione","SI","evento.negoziazioneAssistita.attoMatrimonio","nomeComuneRegistrazione",""
"Atto di Matrimonio","Tipo evento","SI","evento.negoziazioneAssistita.attoMatrimonio","idtipocontenuto",""
"Atto di Matrimonio","Numero Comunale","SI","evento.negoziazioneAssistita.attoMatrimonio","numeroatto",""
"Atto di Matrimonio","Anno atto","SI","evento.negoziazioneAssistita.attoMatrimonio","annoAtto",""
"Atto di Matrimonio","Data atto","SI","evento.negoziazioneAssistita.attoMatrimonio","dataformazione",""
"Atto di Matrimonio","Tipo registro","SI","evento.negoziazioneAssistita.attoMatrimonio","tipologia",""
"Atto di Matrimonio","Parte","NO","evento.negoziazioneAssistita.attoMatrimonio","parte",""
"Atto di Matrimonio","Serie","NO","evento.negoziazioneAssistita.attoMatrimonio","serie",""
"Marito","Cognome","NO","evento.intestatari[0]","cognome","193-ter"
"Marito","Nome","SI","evento.intestatari[0]","nome",""
"Marito","Sesso","SI","evento.intestatari[0]","sesso",""
"Marito","Data nascita","SI","evento.intestatari[0]","dataNascita",""
"Marito","Stato di nascita","SI","evento.intestatari[0]","idStatoNascita",""
"Marito","Stato di nascita - Descrizione","SI","evento.intestatari[0]","nomeStatoNascita",""
"Marito","Provincia di nascita","NO","evento.intestatari[0]","idProvinciaNascita",""
"Marito","Provincia di nascita - Descrizione","NO","evento.intestatari[0]","siglaProvinciaNascita","193-ter"
"Marito","Comune di nascita","NO","evento.intestatari[0]","idComuneNascita",""
"Marito","Comune di nascita - Descrizione","NO","evento.intestatari[0]","nomeComuneNascita","193-ter"
"Marito","Nazionalita","SI","evento.intestatari[0]","idNazionalita",""
"Marito","Nazionalita - Descrizione","SI","evento.intestatari[0]","nazionalita",""
"Marito","Stato di residenza","SI","evento.intestatari[0]","idStatoResidenza",""
"Marito","Stato di residenza - Descrizione","SI","evento.intestatari[0]","nomeStatoResidenza",""
"Marito","Provincia di residenza","NO","evento.intestatari[0]","idProvinciaResidenza",""
"Marito","Provincia di residenza - Descrizione","NO","evento.intestatari[0]","siglaProvinciaResidenza","193-ter"
"Marito","Comune di residenza","NO","evento.intestatari[0]","idComuneResidenza",""
