"Sezione","Campo","Obbligatorio","Binding Object","Binding Field","Note obbligatorieta' formule","Condizioni obbligatorieta'"
"Allegati","Atto di matrimonio","SI","","","",""
"Allegati","Sentenza della Corte d’Appello","SI","","","",""
"Allegati","Dichiarazione di conformità","NO","","","",""
"Formula","192.4","NO","","","",""
"Formula","193.10","NO","","","",""
"Sezione","Campo","Obbligatorio","Binding Object","Binding Field","Note obbligatorieta' formule","Si puo' ignorare la sezione per"
"Formazione atto","Numero comunale","SI","evento","numeroatto","","obbligatoria"
"Formazione atto","Data formazione","SI","evento","dataformazione","","obbligatoria"
"Formazione atto","Ora formazione","SI","evento","ora","","obbligatoria"
"Formazione atto","Minuti formazione","SI","evento","minuto","","obbligatoria"
"Richiedente","Codice Fiscale","NO","evento.dichiarante","codiceFiscale","192.4","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Cognome","SI","evento.dichiarante","cognome","","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Nome","SI","evento.dichiarante","nome","","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Identificativo unico nazionale","NO","evento.dichiarante","idANPR","","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Sesso","NO","evento.dichiarante","sesso","192.4","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Data nascita","NO","evento.dichiarante","dataNascita","192.4","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Stato di nascita","SI","evento.dichiarante","idStatoNascita","","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Stato di nascita - Descrizione","SI","evento.dichiarante","nomeStatoNascita","","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Provincia di nascita","NO","evento.dichiarante","idProvinciaNascita","","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Provincia di nascita - Descrizione","NO","evento.dichiarante","siglaProvinciaNascita","192.4","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Comune di nascita","NO","evento.dichiarante","idComuneNascita","","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Comune di nascita - Descrizione","NO","evento.dichiarante","nomeComuneNascita","192.4","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Località estera","NO","evento.dichiarante","localitaEsteraNascita","192.4","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Nazionalità","SI","evento.dichiarante","idNazionalita","","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Nazionalità - Descrizione","SI","evento.dichiarante","nazionalita","","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Comprensione","NO","evento.dichiarante","tipoImpedimento","192.4","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Residenza non nota","NO","evento.dichiarante","flagIrreperibile","192.4","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Stato di residenza","NO","evento.dichiarante","idStatoResidenza","","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Stato di residenza - Descrizione","NO","evento.dichiarante","nomeStatoResidenza","192.4","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Provincia di residenza","NO","evento.dichiarante","idProvinciaResidenza","","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Provincia di residenza - Descrizione","NO","evento.dichiarante","siglaProvinciaResidenza","192.4","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Comune di residenza","NO","evento.dichiarante","idComuneResidenza","","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Comune di residenza - Descrizione","NO","evento.dichiarante","nomeComuneResidenza","192.4","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","Indirizzo di residenza","NO","evento.dichiarante","indirizzoResidenza","192.4","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","flag dichiarante","SI","evento.dichiarante","flagDichiarante","","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","flag comparente","SI","evento.dichiarante","flagComparente","","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Richiedente","flag firmatario","SI","evento.dichiarante","flagFirmatario","","evento.trascrizioneSeparazione.ricevutaDaPrivatoCittadino,=,false"
"Autorità mittente","Nome Ente","SI","evento.trascrizioneSeparazione.atto.enteEstero","nomeEnte","","obbligatoria"
"Autorità mittente","Stato ente","SI","evento.trascrizioneSeparazione.atto.enteEstero","nazioneEnte","","obbligatoria"
"Autorità mittente","Stato ente","NO","evento.trascrizioneSeparazione.atto.enteEstero","nomeNazioneEnte","","obbligatoria"
"Autorità mittente","Provincia ente","NO","evento.trascrizioneSeparazione.atto.enteEstero","idProvinciaEnte","","obbligatoria"
